iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
575000,0.575,[-1069.4342794418335],[1034.18347168],[-35.25080776],[337.82849494],0.8031044006347656,-0.5907285809516907,8.91522216796875,13716.060960769653
580000,0.58,[-1213.0100510120392],[1036.52624512],[-176.48380589],[338.59379011],0.8077743649482727,0.05021276697516441,10.582195281982422,13830.889610052109
585000,0.585,[-1134.1143540143967],[1014.45172119],[-119.66263282],[331.38288083],0.7771156430244446,0.2345050871372223,11.195866584777832,13946.0496468544
590000,0.59,[-985.4402480721474],[1042.8425293],[57.40228122],[340.65708046],0.4397289454936981,0.025609111413359642,11.593387603759766,14061.20643377304
595000,0.595,[-775.361565567553],[980.61999512],[205.25842955],[320.33133977],0.2458198517560959,-0.007987690158188343,12.070462226867676,14176.26640367508
600000,0.6,[-1103.799131244421],[1037.70983887],[-66.08929238],[338.98042528],0.30368539690971375,-0.13901329040527344,11.674528121948242,14291.679563522339
605000,0.605,[-652.588590323925],[1039.01757812],[386.4289878],[339.40761407],0.5434818267822266,0.1259838193655014,11.813823699951172,14407.122805833817
610000,0.61,[-1176.7111341953278],[1013.29364014],[-163.41749406],[331.0045797],0.7634845972061157,0.13227033615112305,11.355827331542969,14521.086097478867
615000,0.615,[-834.9509863853455],[1057.86865234],[222.91766596],[345.56554465],0.8284115195274353,-0.10355053097009659,10.680252075195312,14635.329931497574
620000,0.62,[-1371.5915822982788],[983.25457764],[-388.33700466],[321.19195791],0.7354141473770142,-0.08152351528406143,11.044106483459473,14749.617087602615
625000,0.625,[-1034.378238916397],[1041.1763916],[6.79815269],[340.11281651],0.9741531610488892,0.08087024837732315,10.929536819458008,14864.442279100418
630000,0.63,[-468.8191295862198],[1019.61413574],[550.79500616],[333.06924576],0.8825733065605164,0.17302913963794708,11.465177536010742,14978.730319976807
635000,0.635,[-1195.6342417001724],[1001.77984619],[-193.85439551],[327.24346014],0.7784976959228516,0.2920090854167938,12.09911060333252,15093.30421590805
640000,0.64,[-1226.6980290710926],[977.83239746],[-248.86563161],[319.4207374],0.5903095602989197,-0.06993704289197922,11.741009712219238,15208.028953552246
645000,0.645,[-721.439870685339],[1045.39526367],[323.95539299],[341.49096191],0.1765144318342209,-0.5103748440742493,11.750697135925293,15322.569583415985
650000,0.65,[-850.338249951601],[1002.39483643],[152.05658647],[327.44435412],0.2400657683610916,-0.3777935206890106,11.999566078186035,15437.004905939102
655000,0.6549999999999999,[-1014.0810379087925],[1011.25],[-2.83103791],[330.33700002],0.12565384805202484,-0.3989759385585785,12.30893325805664,15551.762580156326
660000,0.6599999999999999,[-687.2288153171539],[1030.85351562],[343.62470031],[336.74072466],0.22308960556983948,-0.11267538368701935,12.857389450073242,15666.470126390457
665000,0.6649999999999999,[-1197.0728206336498],[995.90252686],[-201.17029378],[325.32356295],-0.14786911010742188,-0.46688005328178406,12.975568771362305,15781.166731357574
670000,0.6699999999999999,[-1160.5536470115185],[998.41448975],[-162.13915727],[326.1441259],0.5351333618164062,0.13130788505077362,12.839826583862305,15895.623414039612
675000,0.6749999999999999,[-883.2750134468079],[1025.47424316],[142.19922972],[334.98352048],1.1327861547470093,0.6527469158172607,12.7255859375,16009.395231246948
680000,0.6799999999999999,[-433.7309043109417],[996.12298584],[562.39208153],[325.39557853],0.5973194241523743,0.08019180595874786,12.709158897399902,16123.634236335754
685000,0.6849999999999999,[-969.6018835902214],[1041.35327148],[71.75138789],[340.17059645],0.46783143281936646,-0.0033783912658691406,12.900247573852539,16238.223052978516
690000,0.69,[-793.464102551341],[974.80395508],[181.33985253],[318.4314602],0.23315811157226562,0.013041115365922451,13.604272842407227,16353.11595416069
695000,0.695,[-1365.5971103012562],[1036.78503418],[-328.81207612],[338.67832668],0.3552612364292145,0.016977310180664062,13.385149955749512,16467.95280122757
700000,0.7,[-742.8522473946214],[988.53369141],[245.68144401],[322.91644404],0.1587669402360916,0.033722877502441406,13.994543075561523,16582.19719672203
705000,0.705,[-1554.5096970051527],[1010.63800049],[-543.87169652],[330.137083],0.014283753000199795,-0.3579716682434082,13.45280933380127,16696.35538315773
710000,0.71,[-1172.0826234780252],[1049.73413086],[-122.34849262],[342.90830517],0.0762481689453125,-0.1744191199541092,13.833073616027832,16810.866314649582
715000,0.715,[-1495.7300017625093],[976.00921631],[-519.72078545],[318.82517331],0.18787460029125214,0.289823442697525,14.790907859802246,16925.372354269028
720000,0.72,[-971.489625275135],[1047.25622559],[75.76660031],[342.09886755],0.49531325697898865,0.34249693155288696,14.2302885055542,17039.931916713715
725000,0.725,[-802.0643944740295],[1004.61157227],[202.54717779],[328.16847759],0.44888612627983093,0.13936357200145721,13.914816856384277,17154.0584526062
730000,0.73,[-1400.8873541206121],[981.87268066],[-419.01467346],[320.7405446],0.3467109799385071,0.047216322273015976,14.016180992126465,17268.73510980606
735000,0.735,[-1028.3968604803085],[976.07635498],[-52.3205055],[318.84710496],0.8234028220176697,0.408792108297348,13.80468463897705,17383.809980392456
740000,0.74,[-1238.2922055572271],[1003.44604492],[-234.84616064],[327.78774404],0.40486985445022583,0.1161661148071289,14.195745468139648,17498.58833169937
745000,0.745,[-1348.9992782846093],[1028.64538574],[-320.35389254],[336.01941242],-0.014766693115234375,-0.30025187134742737,14.280086517333984,17613.171926498413
750000,0.75,[-1243.0443564653397],[1012.85046387],[-230.1938926],[330.85981083],-0.2729690670967102,-0.7295576333999634,13.928621292114258,17727.97736787796
755000,0.755,[-984.1634781360626],[1025.86169434],[41.6982162],[335.11008607],-0.4108223021030426,-0.613333523273468,14.640109062194824,17842.861598730087
760000,0.76,[-694.0546841621399],[1003.32043457],[309.26575041],[327.7467119],-0.3705146908760071,-0.9535309076309204,13.765140533447266,17957.723189353943
765000,0.765,[-1028.0374025702477],[985.68719482],[-42.35020775],[321.98660163],-0.3084121644496918,-0.7492771148681641,14.196812629699707,18072.339485645294
770000,0.77,[-1097.5136904716492],[1026.21887207],[-71.2948184],[335.22676248],-0.3664817810058594,-0.8184368014335632,14.245381355285645,18187.30585694313
775000,0.7749999999999999,[-1146.323628783226],[1006.13891602],[-140.18471277],[328.66740284],0.3059249818325043,-0.6835893988609314,12.977777481079102,18302.41208267212
